PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.743878046875,20102812.5,2143633526.0,10,25,10,221.0,256,15,10,196.0
107.7250103571428,19086399.35064935,2088747251.7501626,8,12,5,291.0,308,7,5,279.0
100.37253832061069,23948854.96183206,2358348372.328244,7,33,15,214.0,262,18,15,181.0
101.45816317596558,20931330.472103003,2353509510.9871244,5,34,12,187.0,233,22,12,153.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.05204150289022,17418381.502890173,1863208768.3815029,1,26,1,146.0,173,25,1,120.0
105.25745915492953,18997652.582159624,1987894905.633803,2,16,5,192.0,213,11,5,176.0
108.81485511904768,22150297.61904762,2420854424.702381,6,6,4,158.0,168,2,4,152.0
102.33162745192304,21365384.615384616,2131405959.5673077,6,29,8,171.0,208,21,8,142.0
110.2561795454545,21254545.454545453,3155720217.7272725,3,12,9,89.0,110,3,9,77.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.2978,20791025.64102564,3045761260.8974357,2,12,8,58.0,78,4,8,46.0
97.54763120300754,27001804.511278197,2656230289.62406,10,18,9,106.0,133,9,9,88.0
106.78715309352523,21425683.45323741,2288566506.3007193,5,9,3,127.0,139,6,3,118.0
107.84523106060617,24192676.767676767,2591684028.989899,5,15,2,181.0,198,13,2,166.0
104.15095806818182,20727159.09090909,2420070676.505682,2,22,15,139.0,176,7,15,117.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.53018591549295,16920140.84507042,1803794359.5070422,2,9,3,59.0,71,6,3,50.0
102.93911440000002,25624000.0,2638278288.4,6,6,4,115.0,125,2,4,109.0
100.57105023696678,18686635.071090046,1841042448.5450237,3,14,9,188.0,211,5,9,174.0
106.57793240437162,22712568.306010928,2421490633.8251367,4,14,4,165.0,183,10,4,151.0
115.00606454212446,22549816.84981685,2909849533.1868134,9,17,6,250.0,273,11,6,233.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
99.06489345132742,16272743.362831859,1546549509.60177,2,9,8,96.0,113,1,8,87.0
106.37078783783788,17976378.37837838,1910736557.7702703,0,14,7,164.0,185,7,7,150.0
106.6175391891892,21895135.135135137,2336753129.4414415,4,5,0,106.0,111,5,0,101.0
99.70923016806717,18987647.05882353,1861023863.6554623,1,11,6,102.0,119,5,6,91.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.75038403100773,24720155.03875969,2639025204.379845,7,6,5,118.0,129,1,5,112.0
106.66902557251906,16833053.435114503,1796871563.1603053,3,4,3,124.0,131,1,3,120.0
106.65096190839698,21117099.23664122,2258762747.3435116,9,8,5,118.0,131,3,5,110.0
106.71587333333333,21201123.456790123,2267360428.564815,5,14,3,145.0,162,11,3,131.0
